car_park_no,address,x_coord,y_coord,night_parking
BL23,216 BOON LAY AVE,14451.8262,36853.4082,YES
BL3,BLK 174/179 BOON LAY DRIVE,14190.8096,36556.4297,YES
BL8,BLK 221 BOON LAY PLACE,14653.3598,36396.1197,YES
BL8L,BLK 221 BL8 BOON LAY PLACE,14505.671,36484.5266,NO
BL9,BLK 185/187 BOON LAY AVE,14356.1152,36445.4219,YES
BMVM,BLK 126A BUKIT MERAH VIEW,26866.0055,29672.9702,YES
BM1,BLK 28 JALAN BUKIT MERAH,25357.1463,29858.3486,YES
BM10,BLK 56/57 LENGKOK BAHRU,25857.7754,30056.6386,YES
BM12,BLK 55 LENGKOK BAHRU,25769.3044,30009.7592,YES
BM13,BLK 44/47 LENGKOK BAHRU,25648.7676,29924.1943,YES
BM14,BLK 34-36 JALAN RUMAH TINGGI,25276.6255,30161.1078,NO
BM19,BLK 88/89 REDHILL CLOSE,26373.3689,29793.0744,YES
BM2,BLK 28 HOY FATT ROAD,25399.6152,29918.9512,YES
BM20,BLK 89/90 REDHILL CLOSE,26379.7745,29741.6402,YES
BM21,BLK 17 REDHILL CLOSE,26296.1582,29735.998,YES
BM25,BLK 13 REDHILL CLOSE,26157.2988,29795.3418,YES
BM26,BLK 1/3/5 JALAN BUKIT MERAH,25118.4593,29967.6925,YES
BM27,BLK 115/116 BUKIT MERAH CENTRAL,25937.1387,29610.3105,NO
BM28,"BLK 117, 161 BUKIT MERAH CENTRAL",26052.9053,29603.6488,NO
BM29,BLK 163 BUKIT MERAH CENTRAL,26194.9184,29563.3295,YES
BM3,BLK 49/50 HOY FATT ROAD,25574.8666,30013.7121,YES
BM30,BLK 164/165 BUKIT MERAH CENTRAL,26154.2109,29519.0586,NO
BM31,BLK 119 BUKIT MERAH CENTRAL,26136.5799,29432.235,YES
BM33,BLKS 167-169 JALAN BUKIT MERAH,26367.6248,29465.267,YES
BM34,BLK 8/9 REDHILL CLOSE,26144.1953,29717.0977,YES
BM35,BLK 1/5/7 REDHILL CLOSE,26292.5455,29646.5632,YES
BM36,JALAN BUKIT MERAH,26279.3643,29471.6752,NO
BM4,BLK 35A JALAN RUMAH TINGGI,25288.5551,30009.2384,YES
BM5,BLKS 8/10 JALAN RUMAH TINGGI,25139.9101,30093.7491,NO
BM6,BLK 61 LENGKOK BAHRU,25823.7973,30215.5782,YES
BM9,BLK 58/59 LENGKOK BAHRU,25889.8506,30167.4343,YES
BP1,BLK 101/109 BUKIT PURMEI ROAD,27059.7441,28364.7207,YES
BP2,BLK 110/115 BUKIT PURMEI ROAD,27297.2734,28508.1074,NO
BRBL,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS,29935.2249,32102.3708,NO
BRB1,BLK 665 BUFFALO ROAD BASEMENT CAR PARK,29921.7021,32043.75,YES
BRM,BLK 39 BENDEMEER ROAD,31656.358,33667.0566,YES
