name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
Yishun 10,T0014,"51 Yishun Central 1, S(768794)","$1.28 for 1st hr, $0.40 for next subsequent 15min from 7am to 5.59pm ",$2.57/entry from 6pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,768794,28350.29032,45742.01682
Zhongshan Mall,T0014,"20 Ah Hood Road, S(329984)","$1.60 for 1st hr, $0.80 for next subsequent 30min from 6am to 6pm ",$2.20/entry from 6pm to 6am the following day ,Charges same as weekdays ,Charges same as weekdays ,329984,29465.94229,34361.74659
ACTION Theatre,T0014,"42 Waterloo Street, S(187951)",Carpark closed  ,Carpark closed  ,Carpark closed  ,Carpark closed  ,187951,29959.24172,31195.64148
Arena Country Club,T0014,"511 Upper Jurong Road, S(638366)","$0.60/30min from 6am to 8.59am, $1.20/hr from 9am to 8.59pm ",$3.00/entry from 9pm to 5.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,638366,11253.43437,34627.12628
Asian Civilisations Museum,T0014,"1 Empress Place, S(179555)",$1.24/30min from 8am to 5.59pm  ,$2.06/entry from 6pm to 7.59am the following day ,Charges same as weekdays ,$2.06/entry from 8am to 7.59am the following day ,179555,30014.34413,29998.61591
Bedok Reservoir Park,T0014,"Blk 739A, Bedok Reservoir Road, S(471739)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,471739,38014.41388,35601.70465
Bedok Stadium / Sports Hall / ClubFITT Gym,T0014,"1 Bedok North Street 2, S(469642)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,469642,39745.47595,34253.32231
Big Splash,T0014,"902 East Coast Parkway, S(449874)",Free parking from 12midnight to 5pm ,$1.50/hr from 5pm to 12midnight the following day ,$1.50/hr from 5am to 5am the following day ,$1.50/hr from 5am to 5am the following day ,449874,35386.87809,31030.41582
Bishan Sports Centre,T0014,"7 Bishan Street 14, S(579784)",$0.60/30min from 7am to 5pm ,$0.60/30min from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,579784,29966.85218,37410.53707
Bollywood Veggies / Poison Ivy Bistro,T0014,"100 Neo Tiew Road, S(719026)",Free parking  ,Free parking  ,Charges same as weekdays ,Charges same as weekdays ,719026,15019.48741,44462.54814
Buddha Tooth Relic Temple and Museum (Singapore),T0014,"288 South Bridge Road, S(058840)",$1.20/30min from 7am to 7pm  ,Car Park closed after 7pm ,Charges same as weekdays ,Charges same as weekdays ,58840,29215.64892,29326.66068
